TenNTT,MaHDTT,ThoiGianTT,DichVuTT,LienHe,MaGD
Coca-Cola,HDTT13,9 thang,Do uong,info@coca-cola.com,GD03
Adidas,HDTT02,6 thang,Ao dau,contact@adidas.com,GD02
Ton Hoa Sen,HDTT01,9 thang,Tien thuong,contact@tonhoasen.com,GD01
Sony,HDTT18,6 thang,Co so vat chat,info@sony.com,GD04
Hyundai,HDTT08,3 thang,Phuong tien,info@hyundai.com,GD01
Turkish Airlines,HDTT21,9 thang,Phuong tien,contact@turkishairlines.com,GD03
Budweiser,HDTT14,6 thang,Do uong,info@budweiser.com,GD01
Apple,HDTT23,6 thang,Tien thuong,info@apple.com,GD02
Emirates,HDTT06,6 thang,Ao dau,contact@emirates.com,GD02
Nike,HDTT03,6 thang,Giay thi dau,info@nike.com,GD03
Toyota,HDTT22,6 thang,Phuong tien,info@toyota.com,GD01
Kia Motors,HDTT20,3 thang,Phuong tien,contact@kiamotors.com,GD02
HUST,HDTT04,3 thang,Co so vat chat,info@hust.edu.vn,GD04
Mastercard,HDTT15,6 thang,Tien thuong,contact@mastercard.com,GD02
Yokohama Tyres,HDTT10,6 thang,Tien thuong,info@yokohamatyres.com,GD03
Gazprom,HDTT12,3 thang,Tien thuong,contact@gazprom.com,GD02
Visa,HDTT16,3 thang,Tien thuong,info@visa.com,GD03
Standard Chartered,HDTT11,6 thang,Tien thuong,contact@standardchartered.com,GD01
Heineken,HDTT19,6 thang,Do uong,info@heineken.com,GD01
Chevrolet,HDTT07,6 thang,Phuong tien,contact@chevrolet.com,GD03
Samsung,HDTT24,3 thang,Co so vat chat,info@samsung.com,GD03
Qatar Airways,HDTT09,9 thang,Phuong tien,contact@qatarairways.com,GD02
McDonald's,HDTT17,9 thang,Do an,info@mcdonalds.com,GD04
Puma,HDTT05,9 thang,Ao luyen tap,contact@puma.com,GD01
